name,category
미토우,일식당
밍글스,한식
스와니예,양식
권숙수,한식
코지마,일식당
알라프리마,퓨전음식
서울신라호텔 라연,한식
정식당,한식
레스토랑 알렌,프랑스음식
윤서울,한식
에빗,양식
온지음 레스토랑,한식
제로컴플렉스,프랑스음식
무니,일식당
7th Door,한식
소설한남,한식
코자차,중식당
스시마츠모토,일식당
하네,일식당
빈호,양식
호빈,중식당
익스퀴진,양식
라미띠에,프랑스음식
소울,양식
라망시크레,양식
MUOKI,프랑스음식
비채나,한식
고료리 켄,양식
강민철 레스토랑,양식
솔밤,한식
조선 팰리스 이타닉 가든,한식
꽃밥에피다,한식
안암,한식
베이스이즈나이스,한식
봉산옥 서초동본점,한식
부촌육회 본점,"육류,고기요리"
대성집,"곰탕,설렁탕"
담택,일본식라면
에그앤플라워,"스파게티,파스타전문"
팩피,"스파게티,파스타전문"
개성만두 궁,만두
게방식당,한식
금돼지식당,돼지고기구이
꿉당,"육류,고기요리"
구복만두,"칼국수,만두"
광화문국밥,한식
하동관 명동본점,"곰탕,설렁탕"
할매집,한식
합정옥,"곰탕,설렁탕"
호라파,태국음식
화해당 여의도점,게요리
황금콩밭,두부요리
황생가칼국수,"칼국수,만두"
현우동,"우동,소바"
자하손만두,만두
정면,국수
진진,중식당
진미평양냉면,냉면
정인면옥 본점,냉면
계월 본점,닭요리
교다이야,"우동,소바"
교양식사,양갈비
임병주산동칼국수,"칼국수,만두"
뉴만두집,만두
만족오향족발 시청점,"족발,보쌈"
마포옥,"곰탕,설렁탕"
멘텐,일본식라면
광화문미진,한식
명동교자 본점,"칼국수,만두"
남포면옥,냉면
진중 우육면관,아시아음식
옥동식,국밥
원 디그리 노스 강남점,아시아음식
오레노라멘 본점,일본식라면
필동면옥,냉면
삼청동수제비,한식
사루카메,일본식라면
스바루,"우동,소바"
정육면체 신촌점,아시아음식
팀호완 삼성점,"딤섬,중식만두"
툭툭누들타이,태국음식
우래옥,냉면
양양메밀막국수,막국수
용금옥,추어탕
역전회관 마포본점,한식
유림면,국수
맷돌,"멕시코,남미음식"
물랑,프랑스음식
디템포레,양식
보르고한남,이탈리아음식
오부이용,프랑스음식
트리드,양식
오스테리아 오르조,양식
레스토랑오와이,프랑스음식
외고집설렁탕,한식
쥬에,중식당
텐지몽,일식당
본앤브레드 신관,정육식당
르오뇽,프랑스음식
에쌍스,프랑스음식
기가스,양식
셰누프라이빗키친,프랑스음식
일드청담,일식당
OPNNG,와인
스시 결,일식당
알고리즘,퓨전음식
시오,양식
일 베키오,이탈리아음식
엘픽,"스테이크,립"
레벨제로,양식
레귬,양식
마테르,양식
해남천일관,한식
버드나무집 서초동본점,한식
텅앤그루브조인트,"육류,고기요리"
이치류 홍대본점,양갈비
보름쇠,소고기구이
이문설렁탕,"곰탕,설렁탕"
도우룸,이탈리아음식
옳음,한식
카덴,이자카야
랑빠스81,프랑스음식
곰바위 본점,"곱창,막창,양"
롯데호텔서울 모모야마,일식당
크리스탈제이드 소공점,중식당
마포양지설렁탕,"곰탕,설렁탕"
BISTROT de YOUNTVILLE,프랑스음식
벽제갈비 방이점,소고기구이
미나미 서초점,일식당
서울다이닝,양식
레스쁘아,프랑스음식
봉밀가 강남구청점,냉면
줄라이,양식
볼트스테이크하우스,"스테이크,립"
우가,소고기구이
류니끄,양식
꼼모아,프랑스음식
테이블포포,이탈리아음식
산다이,일식당
쉐시몽,프랑스음식
그랜드하얏트서울 테판,퓨전음식
한국술집 안씨막걸리,"전통,민속주점"
숙수도가,"육류,고기요리"
에빠뉘,프랑스음식
더 그린테이블,프랑스음식
야키토리 묵,"일식튀김,꼬치"
톡톡,양식
웨스틴 조선 서울 스시조,일식당
웨스틴 조선 서울 홍연,중식당
백년옥,두부요리
진미식당,게요리
미미면가 가로수길점,일식당
포시즌스 호텔 서울 유유안,중식당
삼원가든,한식
롯데호텔서울 무궁화,한정식
서울신라호텔 콘티넨탈,프랑스음식
레스토랑 온,프랑스음식
시그니엘 서울 STAY,프랑스음식
롯데호텔서울 도림,중식당
쿠시카와,일식당
웨스틴 조선 서울 나인스 게이트,양식
피에르가니에르서울,프랑스음식
평양면옥,냉면
팔레드 신,중식당
이스트,양식
중화복춘 살롱 시그니처,중식당
알레즈,프랑스음식
GUCCI OSTERIA SEOUL,이탈리아음식
리북방,한식
레스토랑 주은,한식
