name,kwd,title,category,addr,lonx,laty
미토우,"""미토우"" 일식당",<b>미토우</b>,음식점>일식>일식당,서울특별시 강남구 도산대로70길 24 1층,127.0450465,37.5221217
밍글스,"""밍글스"" 한식",<b>밍글스</b>,음식점>한식,서울특별시 강남구 도산대로67길 19 힐탑빌딩 2층,127.0441702,37.5253845
스와니예,"""스와니예"" 양식",<b>스와니예</b>,음식점>양식,서울특별시 강남구 강남대로 652 신사스퀘어 2층,127.0190103,37.5196631
권숙수,"""권숙수"" 한식",<b>권숙수</b>,음식점>한식,서울특별시 강남구 압구정로80길 37 이에스 빌딩 4층,127.0436064,37.524381
코지마,"""코지마"" 일식당",<b>코지마</b>,음식점>일식>일식당,서울특별시 강남구 압구정로60길 21 분더샵 6층,127.0419621,37.5258746
알라프리마,"""알라프리마"" 퓨전음식",<b>알라프리마</b>,음식점>퓨전음식,서울특별시 강남구 학동로17길 13 1층 (인본빌딩),127.0260888,37.5134829
서울신라호텔 라연,"""서울신라호텔 라연"" 한식",<b>서울신라호텔 라연</b>,음식점>한식,서울특별시 중구 동호로 249,127.0053093,37.5555885
정식당,"""정식당"" 한식",<b>정식당</b>,음식점>한식,서울특별시 강남구 선릉로158길 11,127.0410861,37.5256529
레스토랑 알렌,"""레스토랑 알렌"" 프랑스음식",<b>레스토랑 알렌</b>,음식점>프랑스음식,서울특별시 강남구 테헤란로 231 EAST 2층 E205호,127.0418126,37.5035537
윤서울,"""윤서울"" 한식",<b>윤서울</b>,음식점>한식,서울특별시 강남구 선릉로 805 1층,127.038998,37.524135
에빗,"""에빗"" 양식",<b>에빗</b>,음식점>양식,서울특별시 강남구 도산대로45길 10-5 1층 EVETT,127.0362071,37.5234319
온지음 레스토랑,"""온지음 레스토랑"" 한식",<b>온지음 레스토랑</b>,음식점>한식,서울특별시 종로구 효자로 49 온지음 4층,126.9734438,37.5804848
제로컴플렉스,"""제로컴플렉스"" 프랑스음식",<b>제로컴플렉스</b>,음식점>프랑스음식,서울특별시 용산구 서빙고로59길 11-8,126.9928712,37.5208447
무니,"""무니"" 일식당",<b>무니</b>,음식점>일식>일식당,서울특별시 강남구 도산대로72길 16 1층,127.0455679,37.5229486
7th Door,"""7th Door"" 한식",<b>7th Door</b>,음식점>한식,서울특별시 강남구 학동로97길 41 4층,127.0543322,37.522415
소설한남,"""소설한남"" 한식",<b>소설한남</b>,음식점>한식,서울특별시 용산구 한남대로20길 21-18 B동 지하1층,127.0091353,37.5352372
코자차,"""코자차"" 중식당",<b>코자차</b>,중식>중식당,서울특별시 강남구 학동로97길 17 1층 코자차,127.0552938,37.5208918
스시마츠모토,"""스시마츠모토"" 일식당",<b>스시마츠모토</b>,음식점>일식>일식당,서울특별시 강남구 도산대로75길 24 1층,127.0455917,37.5257683
하네,"""하네"" 일식당",<b>하네</b>,음식점>일식>일식당,서울특별시 강남구 언주로172길 14,127.0349506,37.527651
빈호,"""빈호"" 양식",<b>빈호</b>,음식점>양식,서울특별시 강남구 학동로43길 38 논현웰스톤 지상 162호 VINHO,127.038126,37.5185993
호빈,"""호빈"" 중식당",<b>호빈</b>,중식>중식당,서울특별시 중구 동호로 287 앰배서더 서울 풀만 호텔 2층,127.0023153,37.5602761
